Год,Название,Тикер,Дефолт,Надежность,Примечание
,,,,,
2007,ОФЗ-25059,SU25059RMFS5,-,+,
2007,РЖД-06,RU000A0GJNF4,-,+,
2007,Лукойл-02,RU000A0DGFW8,-,+,
2007,Инком-Финанс,RU000A0DZ3A9,-,-,
2007,Миннеско Новосибирск,RU000A0JNZ45,+,-,
2007,Магнит,MGNT,н/п,н/п,
2007,Сбер,SBER,н/п,н/п,
2007,Норникель,GMKN,н/п,н/п,
2007,Роснефть,ROSN,н/п,н/п,
2007,ПИК,PIKK,н/п,н/п,
2007,Газпром,GAZP,н/п,н/п,
2007,Полюс,PLZL,н/п,н/п,
2007,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2007,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2007,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2007,USD/RUB,USD_RUB,н/п,н/п,
2007,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2007,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2008,ОФЗ-26201,SU26201RMFS2,-,+,
2008,Газпром А4,RU000A0DY3S2,-,+,
2008,РЖД-07,RU000A0GJNG2,-,+,
2008,МАРТА ФИНАНС-02,RU000A0GKNR7,+,-,
2008,Седьмой-Континент-2,RU000A0JPB17,,-,
2008,Магнит,MGNT,н/п,н/п,
2008,ВТБ,VTBR,н/п,н/п,
2008,Сбер,SBER,н/п,н/п,
2008,Норникель,GMKN,н/п,н/п,
2008,ЛСР,LSRG,н/п,н/п,
2008,Роснефть,ROSN,н/п,н/п,
2008,ПИК,PIKK,н/п,н/п,
2008,Газпром,GAZP,н/п,н/п,
2008,АФК Система,AFKS,н/п,н/п,
2008,Транснефть,TRNFP,н/п,н/п,
2008,Полюс,PLZL,н/п,н/п,
2008,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2008,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2008,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2008,USD/RUB,USD_RUB,н/п,н/п,
2008,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2008,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2009,ОФЗ-25068,SU25068RMFS6,-,+,
2009,РСХБ-03,RU000A0JP2G4,-,+,
2009,РЖД-08,RU000A0JPW61,-,+,
2009,М-ИНДУСТРИЯ-01,RU000A0JNJ29,+,-,
2009,Вагонмаш-02,RU000A0JNZW9,-,-,
2009,Магнит,MGNT,н/п,н/п,
2009,ВТБ,VTBR,н/п,н/п,
2009,Сбер,SBER,н/п,н/п,
2009,Норникель,GMKN,н/п,н/п,
2009,ЛСР,LSRG,н/п,н/п,
2009,Роснефть,ROSN,н/п,н/п,
2009,ПИК,PIKK,н/п,н/п,
2009,Газпром,GAZP,н/п,н/п,
2009,АФК Система,AFKS,н/п,н/п,
2009,Транснефть,TRNFP,н/п,н/п,
2009,Полюс,PLZL,н/п,н/п,
2009,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2009,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2009,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2009,USD/RUB,USD_RUB,н/п,н/п,
2009,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2009,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2010,ОФЗ-25075,SU25075RMFS1,-,+,
2010,ФСК ЕЭС-04,RU000A0JNPX8,-,+,
2010,РЖД-09,RU000A0JQ136,-,+,
2010,Промтрактор-Финанс-03,RU000A0JPWU5,+,-,
2010,М-Индустрия-02,RU000A0JPTR7,+,-,
2010,Магнит,MGNT,н/п,н/п,
2010,ВТБ,VTBR,н/п,н/п,
2010,Сбер,SBER,н/п,н/п,
2010,Норникель,GMKN,н/п,н/п,
2010,ЛСР,LSRG,н/п,н/п,
2010,Роснефть,ROSN,н/п,н/п,
2010,ПИК,PIKK,н/п,н/п,
2010,Газпром,GAZP,н/п,н/п,
2010,АФК Система,AFKS,н/п,н/п,
2010,Транснефть,TRNFP,н/п,н/п,
2010,Полюс,PLZL,н/п,н/п,
2010,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2010,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2010,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2010,USD/RUB,USD_RUB,н/п,н/п,
2010,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2010,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2011,ОФЗ-26203,SU26203RMFS8,-,+,
2011,Газпром нефть-03,RU000A0JQ8H8,-,+,
2011,РЖД-11,RU000A0JQ177,-,+,
2011,Нутринвестхолдинг-02,RU000A0JQHV2,+,-,
2011,ЮТэйр-Финанс-БО-04,RU000A0JRDB1,-,-,
2011,Магнит,MGNT,н/п,н/п,
2011,ВТБ,VTBR,н/п,н/п,
2011,Сбер,SBER,н/п,н/п,
2011,Норникель,GMKN,н/п,н/п,
2011,ЛСР,LSRG,н/п,н/п,
2011,Роснефть,ROSN,н/п,н/п,
2011,ПИК,PIKK,н/п,н/п,
2011,Газпром,GAZP,н/п,н/п,
2011,АФК Система,AFKS,н/п,н/п,
2011,Транснефть,TRNFP,н/п,н/п,
2011,Полюс,PLZL,н/п,н/п,
2011,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2011,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2011,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2011,USD/RUB,USD_RUB,н/п,н/п,
2011,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2011,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2012,ОФЗ-26206,SU26206RMFS1,-,+,
2012,Башнефть-02,RU000A0JQNS6,-,+,
2012,РусГидро-07,RU000A0JTMG7,-,+,
2012,НОК-03,RU000A0JQAQ7,+,-,
2012,СУ-155 Капитал-05,RU000A0JTNX0,-,-,
2012,Магнит,MGNT,н/п,н/п,
2012,ВТБ,VTBR,н/п,н/п,
2012,Сбер,SBER,н/п,н/п,
2012,Норникель,GMKN,н/п,н/п,
2012,ЛСР,LSRG,н/п,н/п,
2012,Роснефть,ROSN,н/п,н/п,
2012,ПИК,PIKK,н/п,н/п,
2012,Газпром,GAZP,н/п,н/п,
2012,АФК Система,AFKS,н/п,н/п,
2012,Транснефть,TRNFP,н/п,н/п,
2012,Полюс,PLZL,н/п,н/п,
2012,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2012,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2012,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2012,USD/RUB,USD_RUB,н/п,н/п,
2012,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2012,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2013,ОФЗ-26204,SU26204RMFS6,-,+,
2013,ВТБ-06,RU000A0JNGU3,-,+,
2013,РЖД-28,RU000A0JTU85,-,+,
2013,КАСКАД-01,RU000A0JTZ56,+,-,
